datetime_utc,et_seconds,station_id,station_name,mgs_x_km,mgs_y_km,mgs_z_km,mgs_vx_km_s,mgs_vy_km_s,mgs_vz_km_s,mars_sun_x_km,mars_sun_y_km,mars_sun_z_km,stat_earth_x_km,stat_earth_y_km,stat_earth_z_km,earth_sun_x_km,earth_sun_y_km,earth_sun_z_km
1997-09-20 14:54:30,-71960666.81760572,65,DSS-65,32455.729631234557,22863.031414480127,-40058.731550141616,0.1630120425527806,-0.1465143305443191,0.24642453014277166,-2146874.6704568667,-198047019.0974797,-90779442.20479904,-3783.1576491377336,-3056.442818256831,4113.763717114913,150092133.47671184,-5494784.394019045,-2381733.8577444875
1997-09-20 14:55:30,-71960606.81760573,65,DSS-65,32465.49640229844,22854.230728947576,-40043.92886202785,0.1625469347874983,-0.1468418574915954,0.24699841479127826,-2145365.9440597375,-198046903.77904764,-90779430.10930699,-3769.7494787434703,-3072.961734021518,4113.766093071775,150092176.16115633,-5493152.465013078,-2381026.274909685
1997-09-20 14:55:30,-71960606.81760573,65,DSS-65,32465.49640229844,22854.230728947576,-40043.92886202785,0.1625469347874983,-0.1468418574915954,0.24699841479127826,-2145365.9440597375,-198046903.77904764,-90779430.10930699,-3769.7494787434703,-3072.961734021518,4113.766093071775,150092176.16115633,-5493152.465013078,-2381026.274909685
1997-09-20 14:56:30,-71960546.81760573,65,DSS-65,32475.235256413118,22845.41039115356,-40029.09173944024,0.16208147734647066,-0.1471694059269037,0.24757234594481778,-2143857.217562801,-198046788.45146617,-90779418.00962113,-3756.2691622171374,-3089.4218275167514,4113.768487943121,150092218.82452425,-5491520.535137346,-2380318.6917092074
1997-09-20 14:56:30,-71960546.81760573,65,DSS-65,32475.235256413118,22845.41039115356,-40029.09173944024,0.16208147734647066,-0.1471694059269037,0.24757234594481778,-2143857.217562801,-198046788.45146617,-90779418.00962113,-3756.2691622171374,-3089.4218275167514,4113.768487943121,150092218.82452425,-5491520.535137346,-2380318.6917092074
1997-09-20 14:57:30,-71960486.81760573,65,DSS-65,32484.94617256824,22836.570399797805,-40014.22017956882,0.16161566931672836,-0.1474969762894573,0.24814632438095677,-2142348.4909665007,-198046673.1147354,-90779405.90574144,-3742.716957615044,-3105.8227836437154,4113.770901683103,150092261.4668156,-5489888.604392471,-2379611.1081433254
1997-09-20 14:57:30,-71960486.81760573,65,DSS-65,32484.94617256824,22836.570399797805,-40014.22017956882,0.16161566931672836,-0.1474969762894573,0.24814632438095677,-2142348.4909665007,-198046673.1147354,-90779405.90574144,-3742.716957615044,-3105.8227836437154,4113.770901683103,150092261.4668156,-5489888.604392471,-2379611.1081433254
1997-09-20 14:58:30,-71960426.81760575,65,DSS-65,32494.62912969864,22827.710753553692,-39999.31417955701,0.1611495097827611,-0.14782456901873026,0.248720350877778,-2140839.7642712807,-198046557.7688553,-90779393.79766794,-3729.0931243697205,-3122.1642884357148,4113.773334245508,150092304.0880303,-5488256.672779078,-2378903.524212312
1997-09-20 14:58:30,-71960426.81760575,65,DSS-65,32494.62912969864,22827.710753553692,-39999.31417955701,0.1611495097827611,-0.14782456901873026,0.248720350877778,-2140839.7642712807,-198046557.7688553,-90779393.79766794,-3729.0931243697205,-3122.1642884357148,4113.773334245508,150092304.0880303,-5488256.672779078,-2378903.524212312
1997-09-20 14:59:30,-71960366.81760575,65,DSS-65,32504.284106691317,22818.831451061622,-39984.373736490394,0.16068299782615986,-0.1481521845547049,0.24929442621431416,-2139331.037476466,-198046442.41382584,-90779381.6854006,-3715.3979232747233,-3138.4460290762986,4113.775785583762,150092346.68816835,-5486624.740296573,-2378195.9399159094
1997-09-20 14:59:30,-71960366.81760575,65,DSS-65,32504.284106691317,22818.831451061622,-39984.373736490394,0.16068299782615986,-0.1481521845547049,0.24929442621431416,-2139331.037476466,-198046442.41382584,-90779381.6854006,-3715.3979232747233,-3138.4460290762986,4113.775785583762,150092346.68816835,-5486624.740296573,-2378195.9399159094
1997-09-20 15:00:30,-71960306.81760575,65,DSS-65,32513.911082370912,22809.932490942192,-39969.39884741892,0.16021613252630088,-0.14847982333738705,0.24986855116969864,-2137822.310582493,-198046327.04964697,-90779369.56893946,-3701.631616499937,-3154.667693880899,4113.778255650935,150092389.2672297,-5484992.806945584,-2377488.3552543903
1997-09-20 15:00:30,-71960306.81760575,65,DSS-65,32513.911082370912,22809.932490942192,-39969.39884741892,0.16021613252630088,-0.14847982333738705,0.24986855116969864,-2137822.310582493,-198046327.04964697,-90779369.56893946,-3701.631616499937,-3154.667693880899,4113.778255650935,150092389.2672297,-5484992.806945584,-2377488.3552543903
1997-09-20 15:01:30,-71960246.81760576,65,DSS-65,32523.510035506763,22801.01387178961,-39954.38950934579,0.1597489129599883,-0.14880748580705316,0.2504427265235989,-2136313.583589808,-198046211.67631876,-90779357.44828446,-3687.7944675764943,-3170.828972315026,4113.780744399736,150092431.8252143,-5483360.87272673,-2376780.7702280255
